regionID,sumDeliveries,zipCode,city,lat,lon
256,571,6140,TALAVERA LA REAL,38.8779,-6.7686
257,1368,45700,CONSUEGRA,39.4625,-3.608
258,1418,22880,CANFRANC,42.6513,-0.4517
259,4350,6200,ALMENDRALEJO,38.6832,-6.4075
260,1942,41740,LEBRIJA,36.9208,-6.0753
261,447,33879,TINEO,43.3244,-6.4076818181818185
262,1656,50240,MORES,41.4733,-1.5649
263,125,26526,CORNAGO,42.0644,-2.0949
264,272,6260,MONESTERIO,38.0833,-6.2667
265,1878,6300,ZAFRA,38.4167,-6.4167
266,5504,48270,MARKINA-XEMEIN,43.2667,-2.5
267,751,49800,TORO,41.5242,-5.3953
268,2172,6400,DON BENITO,38.9563,-5.8616
269,267,39577,VEGA DE LIEBANA,43.0946,-4.6827
270,343,24237,TORAL DE LOS GUZMANES,42.2427,-5.5656333333333325
271,16772,33210,GIJON,43.5357,-5.6615
272,710,17773,PONTOS,42.177,2.9198
273,387,50830,VILLANUEVA DE GALLEGO,41.7692,-0.8235
274,2272,23500,JODAR,37.8406,-3.3526
275,1898,32111,PADERNE DE ALLARIZ,42.4756,-7.9174
276,16697,46182,"CAÑADA, LA",39.5333,-0.4833
277,1776,49690,SAN CRISTOBAL DE ENTREVIÑAS,42.0458,-5.6347
278,376,6614,ALMORCHON,38.7,-5.2833
279,230,6770,CASAS DE DON PEDRO,39.1082,-5.3308
280,3689,28214,FRESNEDILLAS,40.1642,-3.7327
281,1431,6700,VILLANUEVA DE LA SERENA,38.9766,-5.7974
282,781,34886,VELILLA DEL RIO CARRION,42.8261,-4.8463
283,1724,24393,SANTA MARINA DEL REY,42.4674,-5.836785714285715
284,1485,15689,ORDENES,43.0333,-8.42449523809524
285,1065,15810,ARZUA,42.9281,-8.1641
286,3141,22423,ESTADILLA,42.0566,0.2434
287,1018,6870,"GARROVILLA, LA",38.9196,-6.4775
288,1243,46295,SUMACARCEL,39.0322,-0.6105499999999999
289,820,6930,BERLANGA,38.2833,-5.8167
290,1499,33459,CASTRILLON,43.55,-6.030788888888887
291,104,10380,CIUDAD REAL,39.6662,-5.8131
292,1052,39860,RASINES,43.3176,-3.5289928571428564
293,2492,24010,LEON,42.6,-5.5703
294,1343,14549,"MONTIELA, LA",37.5714,-4.7965
295,1165,46837,QUATRETONDA,38.95,-0.4
